********************************************************************************
LOGGING TIME: 20181005_193859
CLIENT IP: 10.145.248.147
USERNAME: Rahul
OS: Windows 10
ARCHITECTURE: amd64
VERSION: 10.0
RESOLUTION: 1366.0 768.0
********************************************************************************
MP, 1, 1537598292216
MR, 1, 129
MC, 1, 0
MM, 225, 118, 21314
MM, 233, 121, 12
MM, 251, 129, 17
MM, 296, 152, 8
MM, 354, 183, 13
MM, 410, 215, 13
MM, 464, 248, 13
MM, 507, 273, 13
MM, 544, 295, 12
MM, 578, 312, 12
MM, 605, 325, 13
MM, 627, 334, 14
MM, 646, 339, 12
MM, 660, 343, 13
MM, 669, 345, 12
MM, 675, 346, 13
MM, 678, 346, 12
MM, 679, 346, 13
MM, 681, 346, 14
MM, 681, 346, 49
MM, 682, 346, 26
MM, 682, 346, 12
MM, 685, 346, 14
MM, 690, 346, 11
MM, 696, 346, 14
MM, 701, 347, 12
MM, 708, 347, 14
MM, 715, 347, 12
MM, 721, 347, 12
MM, 727, 347, 12
MM, 737, 347, 14
MM, 748, 345, 12
MM, 750, 345, 343
MM, 757, 345, 13
MM, 770, 345, 12
MM, 784, 345, 13
MM, 798, 345, 13
MM, 812, 345, 12
MM, 824, 346, 12
MM, 835, 348, 14
MP, 1, 240
MR, 1, 127
MC, 1, 0
MM, 835, 349, 863
MM, 835, 351, 12
MM, 830, 355, 12
MM, 824, 361, 14
MM, 817, 368, 13
MM, 807, 380, 12
MM, 800, 390, 13
MM, 792, 400, 12
MM, 785, 411, 14
MM, 780, 422, 13
MM, 775, 432, 11
MM, 772, 441, 14
MM, 769, 450, 11
MM, 766, 457, 14
MM, 764, 463, 12
MM, 762, 469, 15
MM, 758, 475, 12
MM, 756, 478, 13
MM, 754, 480, 11
MM, 752, 482, 14
MM, 752, 484, 12
MM, 751, 484, 13
MM, 751, 485, 12
MM, 750, 485, 14
MM, 750, 486, 12
MM, 748, 486, 75
MM, 746, 486, 128
MM, 741, 486, 12
MM, 734, 486, 12
MM, 726, 485, 13
MM, 719, 485, 14
MM, 712, 484, 12
MM, 707, 483, 13
MM, 703, 482, 14
MM, 700, 481, 11
MM, 698, 481, 13
MM, 697, 480, 11
MM, 696, 480, 15
MM, 694, 480, 228
MM, 682, 480, 11
MM, 658, 478, 15
MM, 594, 470, 11
MM, 514, 453, 13
MM, 473, 438, 12
MM, 435, 415, 13
MM, 395, 390, 16
MM, 359, 364, 10
MM, 331, 339, 12
MM, 310, 320, 12
MM, 294, 303, 15
MM, 286, 291, 12
MM, 282, 283, 12
MM, 280, 277, 13
MM, 279, 274, 14
MM, 279, 269, 11
MM, 277, 269, 241
MM, 269, 267, 13
MM, 253, 261, 12
MM, 216, 244, 13
MM, 166, 222, 12
MM, 124, 201, 13
MM, 95, 184, 12
MM, 73, 170, 15
MM, 62, 162, 11
MM, 56, 156, 13
MM, 50, 149, 12
MM, 47, 140, 13
MM, 46, 137, 1383
MM, 45, 134, 13
MM, 43, 127, 12
MM, 40, 121, 12
MM, 38, 114, 14
MM, 33, 100, 12
MM, 30, 89, 12
MM, 28, 79, 15
MM, 26, 72, 12
MM, 25, 67, 12
MM, 25, 61, 12
MM, 24, 58, 13
MM, 24, 56, 17
MM, 24, 56, 8
MM, 24, 54, 14
MM, 25, 51, 318
MM, 26, 48, 12
