********************************************************************************
LOGGING TIME: 20181030_044544
CLIENT IP: 10.112.1.12
USERNAME: user
OS: Windows 8.1
ARCHITECTURE: amd64
VERSION: 6.3
RESOLUTION: 1366.0 768.0
********************************************************************************
MP, 1, 1541893259264
MR, 1, 109
MC, 1, 0
MM, 78, 731, 237
MM, 75, 720, 15
MM, 73, 704, 0
MM, 69, 678, 16
MM, 65, 645, 0
MM, 63, 608, 16
MM, 59, 568, 0
MM, 54, 524, 15
MM, 49, 479, 0
MM, 44, 435, 16
MM, 40, 391, 0
MM, 37, 352, 15
MM, 35, 314, 0
MM, 35, 282, 16
MM, 35, 257, 0
MM, 38, 237, 16
MM, 41, 222, 0
MM, 44, 211, 15
MM, 46, 204, 0
MM, 49, 194, 16
MM, 49, 193, 16
MM, 50, 192, 0
MM, 50, 191, 20
MM, 50, 191, 8
MM, 50, 190, 9
MM, 51, 190, 0
MM, 52, 189, 16
MM, 53, 189, 0
MM, 55, 188, 16
MM, 58, 187, 0
MM, 60, 186, 15
MM, 63, 185, 0
MM, 65, 184, 16
MM, 68, 184, 0
MM, 69, 183, 16
MM, 71, 183, 0
MM, 72, 183, 15
MM, 74, 183, 0
MM, 76, 183, 16
MM, 77, 182, 0
MM, 80, 181, 15
MM, 82, 179, 0
MM, 85, 177, 16
MM, 87, 175, 0
MM, 90, 171, 16
MM, 92, 166, 0
MM, 94, 160, 15
MM, 97, 156, 0
MM, 99, 151, 19
MM, 102, 145, 8
MM, 104, 138, 8
MM, 106, 133, 5
MM, 107, 127, 0
MM, 108, 123, 16
MM, 109, 118, 0
MM, 110, 110, 16
MM, 111, 107, 15
MM, 112, 102, 0
MM, 112, 100, 16
MM, 113, 97, 0
MM, 113, 95, 16
MM, 113, 93, 0
MM, 114, 91, 15
MM, 115, 89, 0
MM, 115, 87, 16
MM, 115, 86, 0
MM, 115, 85, 15
MM, 116, 83, 0
MM, 116, 82, 16
MM, 116, 80, 0
MM, 117, 79, 16
MM, 117, 79, 15
MM, 118, 77, 0
MM, 118, 75, 16
MM, 119, 73, 0
MM, 120, 70, 16
MM, 120, 68, 0
MM, 121, 66, 15
MM, 121, 65, 0
MM, 121, 65, 16
MM, 121, 64, 8
MM, 121, 64, 61
MP, 1, 15
MD, 121, 63, 47
MR, 1, 63
MM, 122, 63, 195
MM, 122, 63, 0
MM, 123, 63, 15
MM, 123, 63, 16
MM, 123, 63, 15
MM, 124, 64, 0
MM, 124, 64, 16
MM, 124, 65, 0
MM, 124, 65, 16
MM, 124, 66, 0
MM, 124, 66, 29
MM, 125, 66, 101
MM, 155, 94, 15
MM, 165, 103, 0
MM, 173, 111, 16
MM, 184, 120, 0
MM, 196, 129, 0
MM, 210, 142, 16
MM, 226, 156, 0
MM, 240, 166, 15
MM, 257, 179, 0
MM, 275, 191, 16
MM, 295, 206, 16
MM, 313, 220, 0
MM, 329, 234, 0
MM, 345, 247, 15
MM, 361, 259, 0
MM, 371, 268, 16
MM, 382, 276, 0
MM, 389, 282, 23
MM, 394, 286, 8
MM, 398, 289, 6
MM, 402, 292, 8
MM, 404, 294, 8
MM, 405, 294, 4
MM, 406, 294, 149
MM, 407, 294, 15
MM, 407, 294, 0
MM, 408, 294, 18
MM, 409, 294, 8
MM, 410, 294, 8
MM, 413, 294, 8
MM, 416, 293, 6
MM, 423, 292, 8
MM, 432, 291, 4
MM, 443, 290, 0
MM, 455, 289, 15
MM, 468, 289, 0
MM, 485, 285, 16
MM, 504, 282, 0
MM, 521, 278, 16
MM, 536, 275, 0
MM, 548, 272, 15
MM, 558, 269, 0
MM, 566, 267, 16
MM, 570, 265, 0
MM, 570, 264, 15
MM, 570, 264, 0
MM, 570, 263, 47
MM, 570, 263, 16
MM, 569, 262, 18
MM, 569, 262, 8
MM, 568, 262, 2
MM, 568, 262, 0
MM, 567, 262, 16
MM, 566, 262, 0
MM, 566, 262, 15
MM, 564, 262, 0
MM, 562, 262, 16
MM, 560, 262, 0
MM, 558, 262, 15
MM, 554, 262, 0
MM, 548, 262, 16
MM, 542, 262, 0
MM, 532, 262, 16
MM, 523, 261, 0
MM, 511, 261, 15
MM, 498, 260, 0
MM, 482, 259, 16
MM, 464, 258, 0
MM, 447, 256, 16
MM, 433, 254, 0
MM, 423, 253, 15
MM, 417, 252, 0
MM, 414, 251, 16
MM, 414, 251, 0
MM, 414, 251, 47
MM, 415, 251, 15
MM, 417, 250, 16
MM, 419, 249, 0
MM, 421, 249, 16
MM, 422, 248, 0
MM, 425, 248, 15
MM, 427, 248, 0
MM, 430, 248, 16
MM, 432, 248, 0
MM, 434, 248, 15
MM, 438, 248, 0
MM, 441, 249, 16
MM, 446, 249, 0
MM, 450, 251, 16
MM, 452, 252, 0
MM, 455, 253, 15
MM, 458, 255, 0
MM, 461, 256, 16
MM, 465, 259, 0
MM, 467, 260, 16
MM, 470, 261, 0
MM, 473, 263, 15
MM, 475, 263, 0
MM, 477, 264, 16
MM, 479, 264, 0
MM, 480, 265, 15
MM, 481, 265, 0
MM, 482, 265, 16
MM, 482, 266, 0
MM, 483, 266, 16
MM, 483, 266, 0
MM, 484, 266, 15
MM, 484, 267, 0
MM, 485, 267, 16
MM, 485, 267, 94
MM, 485, 266, 0
MM, 484, 266, 16
MM, 484, 265, 16
MM, 483, 265, 0
MM, 482, 265, 15
MM, 482, 265, 116
MM, 482, 264, 118
MM, 482, 264, 16
MM, 482, 264, 0
MM, 483, 264, 15
MM, 483, 264, 0
MM, 484, 264, 16
MM, 484, 264, 16
MM, 484, 264, 156
MP, 1, 31
MD, 485, 264, 156
MD, 485, 266, 16
MD, 486, 268, 0
MD, 488, 270, 16
MD, 490, 273, 8
MD, 491, 276, 6
MD, 493, 278, 0
MD, 495, 281, 15
MD, 498, 286, 0
MD, 503, 291, 16
MD, 507, 296, 0
MD, 512, 301, 15
MD, 518, 307, 0
MD, 526, 314, 16
MD, 533, 320, 0
MD, 538, 325, 16
MD, 543, 330, 0
MD, 548, 335, 18
MD, 551, 338, 6
MD, 554, 340, 8
MD, 556, 342, 8
MD, 558, 344, 4
MD, 560, 346, 0
MD, 562, 348, 15
MD, 563, 349, 0
MD, 566, 352, 16
MD, 569, 355, 0
MD, 576, 359, 15
MD, 584, 365, 0
MD, 593, 370, 16
MD, 604, 378, 0
MD, 615, 386, 21
MD, 626, 394, 8
MD, 636, 400, 6
MD, 649, 407, 8
MD, 664, 415, 8
MD, 675, 422, 8
MD, 685, 428, 8
MD, 695, 433, 2
MD, 703, 437, 0
MD, 710, 439, 15
MD, 715, 442, 0
MD, 718, 442, 16
MD, 720, 443, 0
MD, 720, 444, 21
MD, 722, 444, 64
MD, 724, 445, 16
MD, 727, 445, 0
MD, 730, 447, 16
MD, 735, 448, 0
MD, 740, 450, 15
MD, 744, 451, 0
MD, 750, 454, 16
MD, 755, 455, 0
MD, 759, 458, 16
MD, 762, 458, 0
MD, 764, 459, 15
MD, 766, 459, 0
MD, 768, 460, 16
MD, 769, 461, 0
MD, 771, 461, 19
MD, 772, 462, 0
MD, 773, 462, 16
MD, 773, 462, 0
MD, 775, 462, 0
MD, 775, 463, 15
MD, 777, 463, 16
MD, 777, 463, 0
MD, 778, 463, 15
MD, 779, 464, 0
MD, 780, 464, 0
MD, 781, 464, 16
MD, 781, 464, 0
MD, 782, 464, 16
MD, 783, 465, 0
MD, 783, 465, 15
MD, 784, 465, 0
MD, 784, 465, 16
MD, 785, 465, 16
MD, 785, 465, 0
MD, 785, 465, 0
MD, 786, 465, 15
MD, 786, 465, 0
MD, 788, 466, 31
MD, 788, 466, 0
MD, 789, 466, 110
MD, 791, 467, 31
MD, 795, 468, 0
MD, 796, 469, 16
MD, 797, 469, 0
MD, 797, 469, 15
MD, 799, 469, 125
MD, 802, 469, 0
MD, 804, 469, 16
MD, 806, 469, 0
MD, 810, 469, 16
MD, 815, 469, 0
MD, 820, 469, 15
MD, 823, 469, 0
MD, 827, 469, 16
MD, 830, 469, 0
MD, 832, 469, 15
MD, 833, 469, 0
MD, 835, 469, 16
MD, 837, 469, 0
MD, 838, 469, 16
MD, 841, 469, 0
MD, 843, 469, 15
MD, 844, 469, 0
MD, 846, 469, 16
MD, 848, 469, 0
MD, 850, 468, 16
MD, 852, 468, 0
MD, 854, 468, 15
MD, 855, 467, 0
MD, 855, 467, 16
MD, 856, 467, 0
MD, 856, 466, 15
MD, 857, 466, 0
MD, 857, 466, 16
MD, 859, 466, 63
MD, 859, 466, 2
MD, 859, 466, 16
MD, 860, 465, 15
MD, 861, 465, 0
MD, 862, 465, 16
MD, 862, 465, 0
MD, 863, 465, 16
MD, 864, 464, 0
MD, 864, 464, 15
MD, 865, 464, 16
MD, 865, 464, 120
MD, 866, 464, 8
MD, 867, 464, 11
MD, 868, 464, 15
MD, 869, 464, 0
MD, 869, 464, 31
MD, 870, 464, 0
MD, 871, 464, 21
MD, 871, 464, 18
MD, 872, 464, 16
MD, 872, 464, 31
MD, 874, 464, 16
MD, 874, 464, 0
MD, 874, 464, 15
MD, 875, 464, 16
MD, 875, 463, 0
MD, 876, 463, 31
MD, 877, 463, 16
MD, 877, 463, 0
MD, 878, 463, 47
MD, 878, 463, 0
MD, 879, 463, 109
MD, 880, 463, 31
MD, 881, 462, 0
MD, 881, 462, 32
MD, 881, 462, 0
MD, 882, 462, 15
MD, 883, 462, 56
MD, 884, 462, 77
MR, 1, 866
MM, 884, 462, 321
MM, 884, 462, 0
MM, 882, 461, 0
MM, 879, 461, 15
MM, 877, 459, 0
MM, 874, 459, 22
MM, 870, 456, 8
MM, 865, 454, 8
MM, 860, 452, 8
MM, 855, 448, 2
MM, 851, 445, 0
MM, 844, 442, 15
MM, 838, 437, 0
MM, 830, 429, 16
MM, 823, 423, 0
MM, 816, 416, 15
MM, 809, 410, 0
MM, 802, 404, 16
MM, 795, 398, 0
MM, 787, 392, 16
MM, 779, 386, 0
MM, 768, 379, 15
MM, 757, 370, 0
MM, 746, 365, 16
MM, 736, 359, 0
MM, 728, 355, 16
MM, 720, 351, 0
MM, 714, 348, 15
MM, 707, 345, 0
MM, 702, 342, 16
MM, 698, 340, 0
MM, 697, 339, 15
MM, 696, 339, 0
MM, 695, 338, 19
MM, 695, 338, 8
MM, 695, 337, 73
MM, 695, 337, 15
MM, 695, 336, 47
MM, 695, 336, 161
MP, 2, 32
MR, 2, 125
MC, 1, 0
MM, 696, 337, 444
MM, 696, 337, 15
MM, 697, 338, 0
MM, 698, 339, 16
MM, 699, 339, 0
MM, 699, 340, 16
MM, 700, 340, 0
MM, 700, 341, 15
MM, 701, 341, 0
MM, 702, 342, 17
MM, 702, 343, 8
MM, 703, 344, 8
MM, 703, 345, 0
MM, 704, 346, 16
MM, 704, 346, 0
MM, 705, 347, 0
MM, 705, 347, 15
MM, 706, 348, 0
MM, 706, 348, 16
MM, 707, 349, 16
MM, 707, 349, 0
MM, 707, 349, 15
MM, 708, 350, 0
MM, 709, 351, 0
MM, 710, 352, 16
MM, 711, 353, 0
MM, 711, 353, 16
MM, 712, 354, 0
MM, 712, 354, 15
MM, 713, 355, 0
MM, 713, 355, 110
MM, 713, 355, 15
MM, 713, 355, 16
MM, 713, 355, 0
MM, 712, 355, 15
MM, 712, 355, 0
MM, 711, 355, 16
MM, 711, 355, 0
MM, 710, 355, 16
MM, 710, 355, 15
MM, 709, 355, 47
MM, 709, 356, 31
MM, 709, 357, 0
MM, 709, 359, 16
MM, 710, 361, 0
MM, 712, 364, 16
MM, 713, 365, 0
MM, 715, 367, 15
MM, 717, 370, 0
MM, 719, 373, 16
MM, 722, 376, 0
MM, 724, 378, 16
MM, 726, 380, 0
MM, 728, 382, 15
MM, 730, 384, 0
MM, 732, 386, 16
MM, 732, 387, 0
MM, 733, 389, 15
MM, 734, 390, 0
MM, 734, 390, 16
MM, 735, 391, 0
MM, 735, 391, 16
MM, 736, 392, 0
MM, 736, 392, 15
MM, 737, 393, 16
MM, 737, 393, 16
MP, 1, 166
MR, 1, 100
MC, 1, 0
MM, 736, 393, 593
MM, 736, 393, 15
MM, 736, 393, 0
MM, 735, 393, 16
MM, 735, 393, 262
MM, 734, 394, 15
MM, 733, 395, 0
MM, 733, 396, 19
MM, 732, 398, 8
